,title,imdb_rating,US_box_office,runtime
6,Stigmata,6.2,50.05,103
7,A Nightmare on Elm Street 4: The Dream Master,5.6,49.37,93
8,The Possession,5.9,49.13,92
9,Old,5.8,48.28,108
10,Sinister,6.8,48.09,110
11,When a Stranger Calls,5.1,47.86,87
12,The Skeleton Key,6.5,47.81,104
13,Alien: Resurrection,6.2,47.75,109
14,Poltergeist,4.9,47.43,93
15,Hostel,5.9,47.33,94
16,Boo 2! A Madea Halloween,3.9,47.32,101
17,Halloween,7.7,47.00,91
18,Silent Hill,6.5,46.98,125
19,Final Destination 2,6.2,46.96,90
20,Boogeyman,4.2,46.75,89
21,Goosebumps 2: Slappy's Revenge,5.6,46.70,90
22,Saw 3D,5.5,45.71,90
23,Jaws 3-D,3.7,45.52,99
24,Ma,5.6,45.37,99
25,28 Days Later,7.5,45.06,113
26,A Nightmare on Elm Street 3: Dream Warriors,6.6,44.79,96
27,The Forever Purge,5.4,44.54,103
28,Hocus Pocus,6.9,44.34,96
29,47 Meters Down,5.6,44.31,89
30,Hereditary,7.3,44.07,127
31,The Shining,8.4,44.02,146
32,Love at First Bite,6.1,43.89,96
33,Prom Night,3.9,43.87,88
34,Acrimony,5.9,43.55,120
35,The Unborn,4.7,42.67,88
36,Krampus,6.2,42.59,98
37,Final Destination 5,5.9,42.59,92
38,Resident Evil: Retribution,5.3,42.35,95
39,Drag Me to Hell,6.6,42.10,99
40,The Cabin in the Woods,7.0,42.07,95
41,Thir13en Ghosts,5.6,41.87,91
42,Exorcist: The Beginning,5.1,41.82,114
43,Aliens vs. Predator: Requiem,4.6,41.80,94
44,The Hills Have Eyes,6.4,41.78,107
45,Orphan,7.0,41.60,123
46,Gremlins 2: The New Batch,6.4,41.48,106
47,Truth or Dare,5.2,41.41,100
48,The Last Exorcism,5.7,41.03,87
49,Poltergeist II: The Other Side,5.6,41.00,91
0,House on Haunted Hill,5.6,40.85,99
1,The Fly,7.6,40.46,96
2,Legion,5.2,40.17,100
3,Resident Evil,6.6,40.12,100
4,The Faculty,6.6,40.06,104
5,A Haunted House,5.0,40.04,86
6,I Still Know What You Did Last Summer,4.7,40.00,100
7,Friday the 13th,6.4,39.75,95
8,30 Days of Night,6.6,39.57,113
9,The Texas Chainsaw Massacre: The Beginning,5.8,39.52,91
10,Pitch Black,7.1,39.24,109
11,The Grudge 2,5.0,39.14,102
12,The Crazies,6.5,39.12,101
13,The Sword and the Sorcerer,5.4,39.10,99
14,Crawl,6.1,39.01,87
15,Little Shop of Horrors,7.1,38.75,94
16,Scream 4,6.2,38.18,111
17,Urban Legend,5.6,38.07,99
18,Jigsaw,5.7,38.05,92
19,The Brothers Grimm,5.9,37.92,118
20,Jeepers Creepers,6.2,37.90,90
21,Red Riding Hood,5.4,37.66,100
22,Abraham Lincoln: Vampire Hunter,5.9,37.52,105
23,The Roommate,4.8,37.30,91
24,Friday the 13th Part III,5.6,36.69,95
25,Vampires Suck,3.4,36.66,82
26,The Boy,6.0,35.82,97
27,The Mothman Prophecies,6.4,35.75,119
28,Jeepers Creepers 2,5.6,35.67,104
29,The Intruder,5.6,35.42,102
30,The Messengers,5.3,35.37,90
31,Frankenweenie,6.9,35.29,87
32,Carrie,5.8,35.27,100
33,Ouija: Origin of Evil,6.2,35.14,99
34,Ghoulies,4.1,35.00,81
35,Freddy's Dead: The Final Nightmare,4.7,34.87,89
36,Psycho II,6.6,34.73,113
37,Texas Chainsaw,4.8,34.34,92
38,The Relic,5.8,33.96,110
39,Carrie,7.4,33.80,98
40,Dreamcatcher,5.5,33.72,134
41,Devil,6.3,33.58,80
42,Halloween II,4.7,33.39,105
43,Child's Play,6.6,33.24,87
44,The Rite,6.0,33.05,114
45,Dracula 2000,4.9,33.02,99
46,Friday the 13th: The Final Chapter,6.0,32.98,91
47,The Last House on the Left,6.5,32.75,110
48,Annihilation,6.8,32.73,115
49,Don't Breathe 2,6.0,32.64,98
0,Darkness Falls,4.9,32.55,86
1,Unfriended,5.6,32.48,83
2,Paranormal Activity: The Marked Ones,5.0,32.46,84
3,Bride of Chucky,5.6,32.40,89
4,Anacondas: The Hunt for the Blood Orchid,4.7,32.24,97
5,The Lost Boys,7.2,32.22,97
6,The Lawnmower Man,5.4,32.10,108
7,House of Wax,5.4,32.06,113
8,Scary Movie V,3.5,32.02,86
9,Psycho,8.5,32.00,109
10,Beast,5.6,31.85,93
11,Lake Placid,5.8,31.77,82
12,Quarantine,5.9,31.69,89
13,House at the End of the Street,5.5,31.61,101
14,From Hell,6.7,31.60,122
15,Doctor Sleep,7.3,31.58,152
16,The Eye,5.4,31.42,98
17,The Mortal Instruments: City of Bones,5.8,31.17,130
18,Crimson Peak,6.5,31.09,119
19,The Texas Chain Saw Massacre,7.4,30.86,83
20,Exorcist II: The Heretic,3.8,30.75,117
21,Mirrors,6.1,30.69,110
22,Predator 2,6.3,30.67,108
23,Open Water,5.8,30.61,79
24,Deliver Us from Evil,6.2,30.58,118
25,Slender Man,3.2,30.57,93
26,An American Werewolf in London,7.5,30.57,97
27,Sleepwalkers,5.3,30.52,91
28,Halloween: Resurrection,3.9,30.35,90
29,Underworld: Blood Wars,5.7,30.35,91
30,Queen of the Damned,5.2,30.34,104
31,Life,6.6,30.23,104
32,Ghost Ship,5.5,30.11,91
33,Daybreakers,6.4,30.10,98
34,A Nightmare on Elm Street 2: Freddy's Revenge,5.4,30.00,87
35,The Fog,3.7,29.51,100
36,Twilight Zone: The Movie,6.4,29.50,101
37,Bless the Child,5.1,29.37,107
38,Child's Play,5.7,29.21,90
39,Priest,5.7,29.14,87
40,Ready or Not,6.8,28.71,95
41,28 Weeks Later,6.9,28.64,100
42,The Uninvited,6.3,28.57,87
43,Child's Play 2,5.9,28.50,84
44,Doom,5.2,28.21,105
45,Happy Death Day 2U,6.2,28.15,100
46,Rings,4.5,27.79,102
47,Sinister 2,5.3,27.74,97
48,Oculus,6.5,27.70,104
49,Saw VI,6.0,27.69,90
0,The Island of Dr. Moreau,4.5,27.66,96
1,Midsommar,7.1,27.33,148
2,Fantasy Island,4.9,27.31,109
3,One Missed Call,4.0,26.88,87
4,Resident Evil: The Final Chapter,5.5,26.83,107
5,Event Horizon,6.6,26.67,96
6,The Forest,4.8,26.58,93
7,An American Werewolf in Paris,5.1,26.57,98
8,The Woman in Black 2: Angel of Death,4.8,26.50,98
9,Book of Shadows: Blair Witch 2,4.0,26.44,90
10,Jacob's Ladder,7.4,26.12,113
11,The Exorcist III,6.5,26.10,110
12,The Descent,7.2,26.02,99
13,Magic,6.8,25.94,107
14,Shutter,5.2,25.93,85
15,The Lazarus Effect,5.2,25.80,83
16,Candyman,6.7,25.79,99
17,From Dusk Till Dawn,7.2,25.75,108
18,The Mist,7.1,25.59,126
19,Halloween II,6.5,25.53,92
20,A Nightmare on Elm Street,7.4,25.50,91
21,Mimic,6.0,25.48,105
22,Dark Water,5.6,25.47,105
23,The Fourth Kind,5.9,25.46,98
24,Escape Room: Tournament of Champions,5.7,25.19,88
25,The Witch,6.9,25.14,92
26,The Reaping,5.6,25.12,99
27,Winchester,5.4,25.09,99
28,Grindhouse,7.5,25.04,191
29,Piranha 3D,5.5,25.00,88
30,The Hills Have Eyes,6.3,25.00,90
31,Invasion of the Body Snatchers,7.4,24.95,115
32,Fright Night,7.0,24.92,106
33,The Craft,6.4,24.88,101
