,title,rotten_rates,director
151,The Fly,95%,Kurt Neumann
152,House of Wax,93%,Andre de Toth
153,Drag Me to Hell,92%,Sam Raimi
154,A Girl Walks Home Alone at Night,96%,Ana Lily Amirpour
155,His House,100%,Remi Weekes
156,Ready or Not,88%,Matt Bettinelli-Olpin
157,Tigers Are Not Afraid,97%,Issa López
158,Mandy,90%,Panos Cosmatos
159,It,86%,Andy Muschietti
160,Don't Look Now,94%,Nicolas Roeg
161,Cat People,92%,Jacques Tourneur
162,The Birds,94%,Alfred Hitchcock
163,The Wailing,99%,Na Hong-jin
164,Dead of Night,93%,Alberto Cavalcanti
165,Under the Shadow,99%,Babak Anvari
166,Host,99%,Rob Savage
167,10 Cloverfield Lane,90%,Dan Trachtenberg
168,Peeping Tom,95%,Michael Powell
169,The Witch,90%,Robert Eggers
170,The Cabin in the Woods,92%,Drew Goddard
171,Repulsion,95%,Roman Polanski
172,Eyes Without a Face,96%,Georges Franju
173,Rosemary's Baby,96%,Roman Polanski
174,Halloween,96%,John Carpenter
175,The Silence of the Lambs,95%,Jonathan Demme
176,The Invisible Man,94%,James Whale
177,Aliens,98%,James Cameron
178,Night of the Living Dead,96%,George A. Romero
179,Freaks,95%,Tod Browning
180,It Follows,95%,David Robert Mitchell
181,Let the Right One In,98%,Tomas Alfredson
182,Hereditary,90%,Ari Aster
183,Vampyr,98%,Carl Theodor Dreyer
184,Invasion of the Body Snatchers,98%,Don Siegel
185,The Lighthouse,90%,Robert Eggers
186,Frankenstein,94%,James Whale
187,The Babadook,98%,Jennifer Kent
188,Jaws,97%,Steven Spielberg
189,Bride of Frankenstein,98%,James Whale
190,A Quiet Place,96%,John Krasinski
191,The Invisible Man,92%,Leigh Whannell
192,The Night of the Hunter,93%,Charles Laughton
193,Nosferatu,97%,F.W. Murnau
194,King Kong,96%,Merian C. Cooper
195,Alien,98%,Ridley Scott
196,Us,93%,Jordan Peele
197,The Cabinet of Dr. Caligari,96%,Robert Wiene
198,Get Out,98%,Jordan Peele
199,Psycho,96%,Alfred Hitchcock
