title,original_language,release_date,popularity,vote_count,vote_average,budget,genre_names,collection_name,year_release
Orphan: First Kill,en,2022-07-27,5088.584,902,6.9,0.0,Thriller,Orphan Collection,2022
Beast,en,2022-08-11,2172.338,584,7.1,0.0,Adventure,,2022
Smile,en,2022-09-23,1863.628,114,6.8,17000000.0,Mystery,,2022
The Black Phone,en,2022-06-22,1071.398,2736,7.9,18800000.0,Thriller,,2022
Presences,es,2022-09-07,1020.995,83,7.0,0.0,Horror,,2022
Sonríe,es,2022-08-18,939.712,1,1.0,0.0,Thriller,,2022
Jeepers Creepers: Reborn,en,2022-09-15,821.605,125,5.8,20000000.0,Mystery,Jeepers Creepers Collection,2022
Nope,en,2022-07-20,733.112,1684,7.0,68000000.0,Mystery,,2022
Hunting Ava Bravo,en,2022-04-01,574.832,73,6.5,0.0,Action,,2022
X,en,2022-03-17,543.67,1035,6.8,10000000.0,Mystery,X Collection,2022
The Exorcism of God,en,2022-03-11,537.252,637,7.3,1500000.0,Horror,,2022
The Jack in the Box: Awakening,en,2022-02-24,527.579,157,6.4,0.0,Horror,Jack in the Box Collection,2022
Torn Hearts,en,2022-05-20,525.876,39,6.1,0.0,Music,,2022
The Cellar,en,2022-03-25,513.757,257,6.6,0.0,Mystery,,2022
My Best Friend's Exorcism,en,2022-09-29,501.921,43,6.1,0.0,Comedy,,2022
Day Shift,en,2022-08-10,449.683,1129,6.9,0.0,Action,,2022
Beneath the Surface,en,2022-04-01,412.34,50,6.9,0.0,Fantasy,,2022
Shut In,en,2022-03-24,399.436,224,7.2,0.0,Thriller,,2022
The Grandmother,es,2022-01-28,381.305,272,5.9,0.0,Drama,,2022
Dahmer,en,2002-06-21,378.39,220,5.2,250000.0,Drama,,2002
Titanic 666,en,2022-04-15,372.136,98,6.0,0.0,Thriller,,2022
Visitor,es,2021-02-11,358.179,7,6.1,0.0,Horror,,2021
Halloween Kills,en,2021-10-14,315.027,1941,6.7,20000000.0,Thriller,Halloween Collection,2021
Incantation,zh,2022-03-18,313.282,339,6.9,0.0,Horror,,2022
Veneciafrenia,es,2022-04-22,302.239,133,6.1,0.0,Horror,,2022
Texas Chainsaw Massacre,en,2022-02-18,293.443,958,5.3,20000000.0,Thriller,Texas Chainsaw Massacre Collection,2022
Scream,en,2022-01-12,291.196,1732,6.7,24000000.0,Mystery,Scream Collection,2022
Valley of the Dead,es,2020-10-08,276.369,201,6.3,0.0,Comedy,,2020
Halloween Ends,en,2022-10-12,270.269,2,10.0,20000000.0,Mystery,Halloween Collection,2022
Smile,it,2009-08-28,266.502,16,3.9,0.0,Thriller,,2009
Orphan,en,2009-07-24,265.858,4403,7.0,20000000.0,Mystery,Orphan Collection,2009
See for Me,en,2022-01-07,254.809,110,6.1,0.0,Crime,,2022
Bring It On: Cheer or Die,en,2022-09-27,253.614,34,6.2,0.0,Comedy,Bring It On Collection,2022
No Exit,en,2022-02-25,252.675,750,7.0,0.0,Mystery,,2022
They/Them,en,2022-07-24,249.32,105,5.3,0.0,Thriller,,2022
The Requin,en,2022-01-28,248.496,191,4.7,0.0,Thriller,,2022
Jeepers Creepers 3,en,2017-09-26,246.189,692,4.9,6200000.0,Mystery,Jeepers Creepers Collection,2017
The Conjuring: The Devil Made Me Do It,en,2021-05-25,246.13,4689,7.6,39000000.0,Mystery,The Conjuring Collection,2021
Resident Evil: Welcome to Raccoon City,en,2021-11-24,245.332,1831,6.1,40000000.0,Action,,2021
Shark Bait,en,2022-05-13,242.754,163,6.0,0.0,Action,,2022
The Addams Family 2,en,2021-10-01,241.156,953,7.1,0.0,Adventure,The Addams Family (Animated) Collection,2021
It Chapter Two,en,2019-09-04,230.451,7221,6.9,79000000.0,Fantasy,It Collection,2019
She Will,en,2022-07-15,229.223,24,5.6,0.0,Drama,,2022
Studio 666,en,2022-02-24,227.919,106,6.3,0.0,Comedy,,2022
The Last Zombie,es,2021-12-02,226.0,3,5.7,0.0,Horror,,2021
The Passenger,es,2022-06-03,220.766,25,6.4,0.0,Horror,,2022
WarHunt,en,2022-01-21,215.537,60,5.1,0.0,Action,,2022
The Unholy,en,2021-03-31,207.113,1737,6.7,10000000.0,Mystery,,2021
Goodnight Mommy,en,2022-09-16,198.775,159,6.2,0.0,Drama,,2022
Virus:32,es,2022-04-21,198.632,155,7.2,0.0,Horror,,2022
The Forever Purge,en,2021-06-30,198.269,1904,7.2,18000000.0,Action,The Purge Collection,2021
Don't Breathe 2,en,2021-08-12,196.003,1847,7.3,10000000.0,Thriller,Don't Breathe Collection,2021
Jeepers Creepers,en,2001-07-01,195.983,2395,6.4,10000000.0,Thriller,Jeepers Creepers Collection,2001
Roald Dahl's The Witches,en,2020-10-25,192.006,2331,6.4,0.0,Adventure,,2020
Ripper Untold,en,2021-06-28,187.478,107,6.2,0.0,Horror,,2021
V for Vengeance,en,2022-06-07,185.965,49,6.8,0.0,Action,,2022
The Conjuring,en,2013-07-18,173.527,9735,7.5,13000000.0,Thriller,The Conjuring Collection,2013
Jeepers Creepers 2,en,2003-08-08,169.063,1287,6.1,17000000.0,Horror,Jeepers Creepers Collection,2003
The Invitation,en,2022-08-24,168.001,176,6.3,10000000.0,Thriller,,2022
Dark Cloud,en,2022-05-09,167.344,60,6.6,0.0,Science Fiction,,2022
Queen of Spades,en,2021-06-11,164.687,66,6.6,0.0,Horror,,2021
Living with Chucky,en,2022-08-13,163.646,2,2.0,0.0,Documentary,,2022
The Hunting,en,2022-01-21,163.448,28,4.9,0.0,Horror,,2022
Bull Shark,en,2022-02-05,161.874,52,5.5,0.0,Thriller,,2022
Halloween,en,2018-10-18,158.374,3974,6.5,10000000.0,Thriller,Halloween Collection,2018
A Quiet Place Part II,en,2021-05-21,153.956,4721,7.6,61000000.0,Science Fiction,A Quiet Place Collection,2021
Paranormal Activity: Next of Kin,en,2021-10-29,149.767,426,6.4,0.0,Mystery,Paranormal Activity Collection,2021
Old,en,2021-07-21,148.823,3080,6.5,18000000.0,Mystery,,2021
Black Water: Abyss,en,2020-07-09,147.567,351,5.1,0.0,Adventure,Black Water Collection,2020
Dark Spell,ru,2021-02-11,146.99,120,6.8,0.0,Fantasy,,2021
The House,en,2022-01-14,145.57,740,7.0,0.0,Animation,,2022
The Haunting of Helena,en,2013-01-14,142.934,129,5.5,0.0,Thriller,,2013
Naruto Shippuden the Movie: Blood Prison,ja,2011-07-30,142.096,404,7.2,0.0,Action,Naruto Collection,2011
Bride of Chucky,en,1998-10-16,139.831,1495,6.0,25000000.0,Comedy,Child's Play Collection,1998
Sonríe,eo,2012-10-23,138.633,1,2.0,0.0,Horror,,2012
Wrong Turn 3: Left for Dead,en,2009-10-20,138.012,904,5.6,3000000.0,Thriller,Wrong Turn Collection,2009
Tarumama,es,2021-07-29,137.971,27,4.5,0.0,Drama,,2021
The Conjuring 2,en,2016-06-08,137.18,7061,7.3,40000000.0,Thriller,The Conjuring Collection,2016
World War Z,en,2013-06-20,131.399,13440,6.8,200000000.0,Action,,2013
The Nun,en,2018-09-05,131.032,5393,5.8,22000000.0,Mystery,The Nun Collection,2018
The Legacy of Chucky,en,2021-07-25,128.64,12,6.4,0.0,Documentary,,2021
Two,es,2021-07-23,127.062,266,5.4,0.0,Thriller,,2021
A Haunted House 2,en,2014-04-17,125.807,1126,6.0,4000000.0,Comedy,A Haunted House Collection,2014
Wrong Turn 4: Bloody Beginnings,en,2011-10-17,125.455,857,5.7,3000000.0,Thriller,Wrong Turn Collection,2011
Wrong Turn 2: Dead End,en,2007-08-25,123.581,1084,6.0,4000000.0,Thriller,Wrong Turn Collection,2007
Mal de Ojo,es,2022-09-22,122.085,4,3.3,0.0,Horror,,2022
Chucky's Vacation Slides,en,2005-06-07,119.795,7,6.3,0.0,Comedy,,2005
Constantine,en,2005-02-08,119.677,5863,7.0,100000000.0,Action,Constantine Collection,2005
Antlers,en,2021-10-28,119.584,782,6.3,0.0,Drama,,2021
Wrong Turn,en,2021-01-26,119.017,804,6.0,0.0,Thriller,,2021
Hidden,en,2015-09-15,117.32,712,6.8,0.0,Thriller,,2015
The Meg,en,2018-08-09,116.512,6068,6.2,150000000.0,Action,The Meg Collection,2018
Cult of Chucky,en,2017-10-23,116.318,959,5.8,6500000.0,Thriller,Child's Play Collection,2017
The Addams Family,en,2019-10-10,116.021,1851,6.6,40000000.0,Animation,The Addams Family (Animated) Collection,2019
The Deep House,en,2021-06-30,115.268,717,6.3,0.0,Horror,,2021
Wrong Turn 5: Bloodlines,en,2012-10-23,112.707,750,5.4,3000000.0,Thriller,Wrong Turn Collection,2012
Meander,fr,2021-05-26,112.295,284,6.0,0.0,Drama,,2021
Fear Street: 1994,en,2021-06-28,111.397,1708,6.8,0.0,Fantasy,Fear Street Collection,2021
Demonic,en,2021-07-29,110.83,153,4.9,0.0,Drama,,2021
Legion,en,2010-01-21,110.404,2190,5.8,26000000.0,Action,,2010
Terrifier 2,en,2022-10-06,109.994,1,8.0,0.0,Thriller,Terrifier Collection,2022
Halloween,en,1978-10-24,109.29,4421,7.6,325000.0,Thriller,Halloween Collection,1978
Child's Play,en,1988-11-09,108.342,2335,6.6,9000000.0,Horror,Child's Play Collection,1988
A Haunted House,en,2013-01-11,108.186,1499,5.8,2500000.0,Comedy,A Haunted House Collection,2013
The First Purge,en,2018-07-04,108.11,3413,6.0,13000000.0,Action,The Purge Collection,2018
It,en,2017-09-06,106.786,16900,7.2,35000000.0,Fantasy,It Collection,2017
Smile,en,2016-11-16,106.579,0,0.0,0.0,Horror,,2016
The Remaining,en,2014-08-25,106.016,285,5.7,0.0,Thriller,,2014
Fear Street: 1978,en,2021-07-08,105.156,1406,7.3,0.0,Fantasy,Fear Street Collection,2021
Separation,en,2021-04-30,104.611,161,5.8,0.0,Drama,,2021
Motherly,en,2022-08-04,104.32,8,6.0,0.0,Thriller,,2022
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,en,2021-09-14,103.618,318,8.1,0.0,Animation,Scooby-Doo! Collection,2021
Smile,en,2022-08-17,103.393,2,4.0,0.0,Horror,,2022
Abraham Lincoln: Vampire Hunter,en,2012-06-20,103.0,2855,5.7,69000000.0,Action,,2012
Barbarian,en,2022-09-08,102.826,61,7.2,10500000.0,Mystery,,2022
Seed of Chucky,en,2004-11-11,102.731,1252,5.4,12000000.0,Comedy,Child's Play Collection,2004
Raising Jeffrey Dahmer,en,2006-04-13,102.665,4,6.8,0.0,Drama,,2006
The Exorcist,en,1973-12-26,101.991,6535,7.7,11000000.0,Horror,The Exorcist Collection,1973
Host,en,2020-12-04,101.167,599,6.5,0.0,Mystery,,2020
Army of the Dead,en,2021-05-14,99.777,3233,6.3,0.0,Action,Army of the Dead Collection,2021
Nobody Sleeps in the Woods Tonight 2,pl,2021-10-27,99.361,244,4.7,0.0,Comedy,Nobody Sleeps in the Woods Tonight Collection,2021
Child's Play 2,en,1990-11-09,97.858,1434,6.2,13000000.0,Thriller,Child's Play Collection,1990
Halloween,en,2007-08-31,97.161,1873,6.2,15000000.0,Horror,Halloween (Rob Zombie Series) Collection,2007
Come Play With Me,es,2021-02-25,96.667,155,7.0,0.0,Horror,,2021
La Llorona,es,2019-07-25,96.391,271,6.4,0.0,Drama,,2019
Titane,fr,2021-07-14,96.198,903,6.5,6600000.0,Drama,,2021
Dragon Fury,en,2021-06-15,96.114,38,6.0,0.0,Fantasy,Dragon Fury Collection,2021
Carriers,en,2009-09-04,95.417,1174,6.1,0.0,Action,,2009
Train to Busan,ko,2016-07-20,94.624,5939,7.8,8500000.0,Action,Train to Busan Collection,2016
Saw,en,2004-10-01,93.053,7650,7.4,1200000.0,Crime,Saw Collection,2004
The Whole Truth,th,2021-12-02,92.637,148,6.3,0.0,Drama,,2021
Dahmer vs. Gacy,en,2010-04-24,91.27,5,1.8,0.0,Comedy,,2010
The Purge: Election Year,en,2016-06-29,91.119,4614,6.4,10000000.0,Action,The Purge Collection,2016
The Curse of La Llorona,en,2019-04-17,90.991,1998,5.7,9000000.0,Thriller,,2019
The Secret Life: Jeffrey Dahmer,en,1993-01-01,90.394,16,5.2,0.0,Drama,,1993
Nightbooks,en,2021-09-15,90.055,274,6.4,0.0,Family,,2021
Wrong Turn,en,2003-05-30,90.04,2127,6.3,12600000.0,Thriller,Wrong Turn Collection,2003
Swim,en,2021-08-13,89.783,37,6.5,0.0,Action,,2021
Child's Play 3,en,1991-08-30,89.455,1234,5.9,13000000.0,Thriller,Child's Play Collection,1991
Hellraiser,en,2022-09-28,89.225,22,5.8,14000000.0,Mystery,Hellraiser Collection,2022
The Hunt,en,2020-03-11,88.978,2477,6.7,14000000.0,Action,,2020
Annabelle Comes Home,en,2019-06-26,88.826,2870,6.4,30000000.0,Mystery,Annabelle Collection,2019
Malignant,en,2021-09-01,88.071,1647,6.9,40000000.0,Mystery,,2021
The Sadness,zh,2021-01-22,87.317,366,6.7,0.0,Thriller,,2021
Prey for the Devil,en,2022-10-26,86.758,0,0.0,0.0,Thriller,,2022
The Exorcism of Carmen Farias,es,2021-05-05,86.707,93,6.1,0.0,Horror,,2021
The Texas Chainsaw Massacre,en,2003-05-21,86.118,2163,6.2,9500000.0,Horror,Texas Chainsaw (Reboot) Collection,2003
Split,en,2016-11-15,85.707,15360,7.3,9000000.0,Thriller,,2016
Before I Wake,en,2016-04-07,84.773,1560,6.4,0.0,Drama,,2016
Hereditary,en,2018-06-07,84.709,6057,7.3,10000000.0,Mystery,,2018
Final Destination,en,2000-03-17,83.626,4585,6.6,23000000.0,Horror,Final Destination Collection,2000
Curse of Chucky,en,2013-10-04,82.858,1280,5.9,5000000.0,Thriller,Child's Play Collection,2013
Child's Play,en,2019-06-19,82.168,1608,6.0,10000000.0,Horror,,2019
Last Night in Soho,en,2021-10-21,81.785,2031,7.5,43000000.0,Fantasy,,2021
The Purge,en,2013-05-31,81.585,7386,6.3,3000000.0,Science Fiction,The Purge Collection,2013
Annabelle: Creation,en,2017-08-03,81.021,4859,6.6,15000000.0,Mystery,Annabelle Collection,2017
Son,en,2021-03-18,80.972,206,6.0,0.0,Thriller,,2021
Tentacles,en,2021-02-12,78.121,90,6.2,0.0,Romance,,2021
Satanic Pandemonium,es,1975-06-26,77.918,55,6.6,0.0,Mystery,,1975
A Nun's Curse,en,2020-05-12,77.424,93,6.2,0.0,Horror,,2020
The Orphanage,es,2007-05-20,76.355,2442,7.2,3400000.0,Drama,,2007
Aquaslash,en,2019-07-29,75.81,124,4.2,0.0,Comedy,,2019
Hansel & Gretel: Witch Hunters,en,2013-01-17,75.4,6015,6.0,50000000.0,Action,,2013
Umma,en,2022-03-18,74.957,162,5.6,0.0,Mystery,,2022
The Ring,en,2002-10-18,73.898,5208,6.6,48000000.0,Mystery,The Ring Collection,2002
Final Destination 5,en,2011-08-12,73.733,2809,6.1,47000000.0,Mystery,Final Destination Collection,2011
Alien: Covenant,en,2017-05-09,73.672,7298,6.1,97000000.0,Mystery,Prometheus Collection,2017
Insidious,en,2010-09-13,73.643,5689,6.9,1500000.0,Thriller,Insidious Collection,2010
Aliens vs Predator: Requiem,en,2007-12-25,73.039,2334,5.1,40000000.0,Action,AVP Collection,2007
Paranormal Activity: The Marked Ones,en,2014-01-01,73.028,1235,5.4,5000000.0,Thriller,Paranormal Activity Collection,2014
Goosebumps,en,2015-08-05,72.726,3302,6.3,58000000.0,Adventure,Goosebumps Collection,2015
Freddy vs. Jason,en,2003-08-15,72.488,2084,6.0,30000000.0,Horror,Friday the 13th Collection,2003
Smile,en,2013-12-01,72.103,0,0.0,10000.0,Thriller,,2013
Paranormal Activity,en,2007-09-14,71.944,4309,6.0,215000.0,Mystery,Paranormal Activity Collection,2007
No One Gets Out Alive,en,2021-09-29,71.919,459,6.0,0.0,Mystery,,2021
Carrie,en,2002-11-04,71.769,379,6.1,0.0,Drama,,2002
The Craft: Legacy,en,2020-10-28,71.202,615,6.3,0.0,Drama,The Craft Collection,2020
Trick 'r Treat,en,2007-10-26,70.923,1457,7.0,12000000.0,Horror,,2007
The Texas Chainsaw Massacre: The Beginning,en,2006-10-05,69.979,1445,6.1,16000000.0,Thriller,Texas Chainsaw (Reboot) Collection,2006
The Medium,th,2021-07-14,69.784,429,7.0,0.0,Thriller,,2021
The Witch,en,2015-01-27,69.655,5790,6.9,3500000.0,Drama,,2015
The Cannibal Killer: The Real Story of Jeffrey Dahmer,en,2020-01-15,69.461,1,2.0,0.0,Horror,,2020
[REC],es,2007-11-23,68.845,3576,7.2,1500000.0,Mystery,[REC] Collection,2007
Nobody Sleeps in the Woods Tonight,pl,2020-03-13,68.493,535,5.3,0.0,Thriller,Nobody Sleeps in the Woods Tonight Collection,2020
Get Out,en,2017-02-24,68.431,14721,7.6,4500000.0,Mystery,,2017
The Ruins,en,2008-04-02,68.279,908,5.9,8000000.0,Horror,,2008
Annabelle,en,2014-10-02,68.243,5341,5.7,6500000.0,Horror,Annabelle Collection,2014
Halloween 4: The Return of Michael Myers,en,1988-10-21,68.198,1311,6.1,5000000.0,Thriller,Halloween Collection,1988
Insidious: Chapter 2,en,2013-09-12,68.172,3528,6.7,5000000.0,Thriller,Insidious Collection,2013
Scream,en,1996-12-20,67.783,5318,7.4,14000000.0,Crime,Scream Collection,1996
The Scientist,en,2020-09-21,67.702,99,6.2,0.0,Drama,,2020
The Human Centipede (First Sequence),en,2009-04-26,67.63,1772,5.2,2011799.0,Horror,The Human Centipede Collection,2009
Underworld: Awakening,en,2012-01-19,67.467,3573,6.3,70000000.0,Action,Underworld Collection,2012
Final Destination 3,en,2006-02-09,67.459,3174,6.1,25000000.0,Mystery,Final Destination Collection,2006
Spiral: From the Book of Saw,en,2021-05-12,67.251,1362,6.1,20000000.0,Crime,,2021
Fear Street: 1666,en,2021-07-14,66.278,1251,7.3,0.0,Mystery,Fear Street Collection,2021
Scouts Guide to the Zombie Apocalypse,en,2015-10-23,66.029,1580,6.5,15000000.0,Comedy,,2015
Witch Hunt,en,2021-10-01,65.909,210,6.9,0.0,Drama,,2021
Attack on Titan,ja,2015-08-01,65.388,586,5.9,0.0,Action,Attack on Titan Collection,2015
Sinister,en,2012-03-29,65.319,4563,6.8,3000000.0,Mystery,Sinister Collection,2012
Zombieland,en,2009-10-07,65.001,10704,7.3,23600000.0,Comedy,Zombieland Collection,2009
Goosebumps 2: Haunted Halloween,en,2018-10-11,64.989,1234,6.1,35000000.0,Adventure,Goosebumps Collection,2018
Butchers,en,2020-10-15,64.786,152,5.0,0.0,Horror,,2020
The Privilege,de,2022-02-09,64.231,179,5.1,0.0,Horror,,2022
Final Destination 2,en,2003-01-31,64.18,3321,6.2,26000000.0,Mystery,Final Destination Collection,2003
Benny Loves You,en,2019-11-21,63.524,139,6.2,10000.0,Comedy,,2019
Truth or Dare,en,2018-04-12,63.521,3562,6.0,3500000.0,Thriller,,2018
A Quiet Place,en,2018-04-03,63.493,12032,7.4,17000000.0,Drama,A Quiet Place Collection,2018
The Shining,en,1980-05-23,63.472,14911,8.2,19000000.0,Thriller,The Shining Collection,1980
Underworld: Blood Wars,en,2016-11-24,63.45,3221,5.8,35000000.0,Action,Underworld Collection,2016
Hellraiser,en,1987-09-11,63.431,1933,6.9,1000000.0,Fantasy,Hellraiser Collection,1987
House of Wax,en,2005-04-30,63.255,2505,5.9,40000000.0,Thriller,,2005
The Autopsy of Jane Doe,en,2016-12-21,63.234,3423,6.7,0.0,Mystery,,2016
Peninsula,ko,2020-07-15,62.868,1971,6.8,17000000.0,Action,Train to Busan Collection,2020
The Hills Have Eyes,en,2006-03-10,62.574,2447,6.4,15000000.0,Thriller,The Hills Have Eyes (Reboot) Collection,2006
Candyman,en,2021-08-25,62.465,1108,6.1,25000000.0,Mystery,Candyman Collection,2021
Dreamcatcher,en,2021-03-05,62.464,93,6.0,0.0,Mystery,,2021
Freddy's Dead: The Final Nightmare,en,1991-09-05,61.784,1029,5.3,11000000.0,Thriller,A Nightmare on Elm Street Collection,1991
Friday the 13th,en,2009-02-11,61.753,2106,5.8,19000000.0,Horror,,2009
The Purge: Anarchy,en,2014-07-17,61.71,5695,6.7,9000000.0,Thriller,The Purge Collection,2014
Alone,en,2020-09-10,61.413,474,6.3,0.0,Thriller,,2020
The Legend of La Llorona,es,2011-10-21,61.125,191,7.8,0.0,Animation,Las Leyendas Collection,2011
Alien,en,1979-05-25,60.982,12083,8.1,11000000.0,Science Fiction,Alien Collection,1979
Caged,en,2021-01-26,60.884,86,6.7,0.0,Thriller,,2021
Terrifier,en,2016-10-15,60.726,612,6.5,100000.0,Thriller,Terrifier Collection,2016
Escape Room: Tournament of Champions,en,2021-07-01,60.72,1341,6.7,15000000.0,Mystery,Escape Room Collection,2021
Jennifer's Body,en,2009-09-18,60.685,3104,5.8,16000000.0,Comedy,,2009
Wrong Turn 6: Last Resort,en,2014-08-22,60.624,664,5.3,1200000.0,Horror,Wrong Turn Collection,2014
Saw II,en,2005-10-28,60.408,4357,6.6,4000000.0,Horror,Saw Collection,2005
Megalodon,en,2018-08-10,60.183,223,5.7,130178.0,Action,Megalodon Collection,2018
Baba Yaga: Terror of the Dark Forest,ru,2020-02-27,59.92,187,5.9,0.0,Horror,,2020
I See You,en,2019-09-11,59.919,1041,7.0,3000000.0,Crime,,2019
Halloween II,en,2009-08-28,59.789,1120,5.4,10000000.0,Horror,Halloween (Rob Zombie Series) Collection,2009
Attack on Titan II: End of the World,ja,2015-09-01,59.771,232,5.9,0.0,Action,Attack on Titan Collection,2015
Drag Me to Hell,en,2009-03-15,59.708,3052,6.4,30000000.0,Thriller,,2009
Dinosaur Hotel,en,2021-06-11,59.573,63,5.2,0.0,Mystery,Dinosaur Hotel,2021
Anacondas: The Hunt for the Blood Orchid,en,2004-08-26,59.552,765,5.4,0.0,Action,Anaconda Collection,2004
Dead Silence,en,2007-03-16,59.495,1893,6.4,20000000.0,Horror,,2007
Saw III,en,2006-10-27,59.343,3653,6.4,10000000.0,Crime,Saw Collection,2006
Friday the 13th,en,1980-05-09,58.957,2289,6.4,550000.0,Horror,Friday the 13th Collection,1980
Midsommar,en,2019-07-03,58.67,5237,7.1,9000000.0,Drama,,2019
Zombieland: Double Tap,en,2019-10-09,58.248,4691,7.0,42000000.0,Comedy,Zombieland Collection,2019
Halloween 5: The Revenge of Michael Myers,en,1989-10-12,58.22,927,5.4,3000000.0,Thriller,Halloween Collection,1989
Blade,en,1998-08-21,57.899,4965,6.7,45000000.0,Action,Blade Collection,1998
I Spit on Your Grave,en,2010-06-17,57.811,1836,6.5,2000000.0,Crime,I Spit on Your Grave Collection,2010
The Texas Chain Saw Massacre,en,1974-10-01,57.809,2525,7.3,85000.0,Horror,Texas Chainsaw Massacre Collection,1974
Phobias,en,2021-02-28,57.696,35,5.2,0.0,Thriller,,2021
The Cabin in the Woods,en,2012-04-12,57.429,6741,6.6,30000000.0,Fantasy,,2012
Evil Eye,en,2020-04-01,57.106,135,5.5,0.0,Mystery,,2020
The Funeral Home,es,2021-04-15,56.856,24,4.5,0.0,Horror,,2021
Sator,en,2019-07-21,56.6,84,5.2,0.0,Horror,,2019
The Thing,en,1982-06-25,56.545,5566,8.0,15000000.0,Mystery,The Thing Collection,1982
Veronica,es,2017-08-25,56.39,1474,6.2,0.0,Horror,Veronica Collection,2017
Insidious: The Last Key,en,2018-01-03,56.103,2313,6.2,10000000.0,Mystery,Insidious Collection,2018
Unhuman,en,2022-06-03,56.0,59,5.7,0.0,Comedy,,2022
Shadow in the Cloud,en,2020-12-31,55.991,652,5.7,0.0,Action,,2020
Texas Chainsaw 3D,en,2013-01-03,55.817,1346,5.5,10000000.0,Thriller,Texas Chainsaw Massacre Collection,2013
Paranormal Activity 3,en,2011-10-19,55.508,1878,5.9,5000000.0,Mystery,Paranormal Activity Collection,2011
Safer at Home,en,2021-02-26,55.177,116,5.5,0.0,Thriller,,2021
Ghost Mansion,ko,2021-06-30,55.108,94,7.3,0.0,Horror,,2021
Saw IV,en,2007-10-25,54.942,3038,6.2,10000000.0,Crime,Saw Collection,2007
Significant Other,en,2022-10-06,54.799,3,6.3,0.0,Science Fiction,,2022
Porno,en,2019-06-28,54.413,249,6.4,0.0,Comedy,,2019
Goodnight Mommy,de,2014-10-07,54.063,1294,6.7,0.0,Drama,,2014
House of the Witch,en,2017-10-07,53.773,120,4.7,0.0,TV Movie,,2017
I Spit on Your Grave III: Vengeance is Mine,en,2015-10-01,53.578,781,5.7,0.0,Thriller,I Spit on Your Grave Collection,2015
Annihilation,en,2018-02-22,53.42,7378,6.4,40000000.0,Science Fiction,,2018
The New Mutants,en,2020-08-26,53.323,2819,6.2,67000000.0,Action,,2020
The Hills Have Eyes 2,en,2007-03-22,53.301,1175,5.5,15000000.0,Thriller,The Hills Have Eyes (Reboot) Collection,2007
28 Weeks Later,en,2007-04-26,53.104,3514,6.6,15000000.0,Science Fiction,28 Days/Weeks Later Collection,2007
Don't Breathe,en,2016-06-08,53.069,6387,7.0,9900000.0,Thriller,Don't Breathe Collection,2016
The Final Destination,en,2009-08-26,53.023,2670,5.6,40000000.0,Mystery,Final Destination Collection,2009
Knock Knock,en,2015-06-26,52.877,2621,5.3,2500000.0,Drama,,2015
El amarre,es,2021-10-21,52.743,89,7.0,0.0,Horror,,2021
Blood Red Sky,de,2021-07-23,52.695,1230,7.0,17739525.0,Action,,2021
The Exorcism of Emily Rose,en,2005-09-09,52.675,2333,6.5,19000000.0,Crime,,2005
There's Someone Inside Your House,en,2021-09-24,52.537,476,5.6,0.0,Mystery,,2021
Willy's Wonderland,en,2021-02-12,52.535,603,6.1,5000000.0,Action,,2021
Werewolves Within,en,2021-06-25,52.511,345,6.1,6500000.0,Comedy,,2021
Halloween: The Curse of Michael Myers,en,1995-09-29,52.474,840,5.2,5000000.0,Thriller,Halloween Collection,1995
The Seventh Day,en,2021-03-26,52.293,206,5.4,0.0,Horror,,2021
Thir13en Ghosts,en,2001-10-26,52.197,1695,6.2,42000000.0,Thriller,,2001
The Human Centipede 2 (Full Sequence),en,2011-10-06,51.967,1067,4.8,0.0,Crime,The Human Centipede Collection,2011
[REC]⁴ Apocalypse,es,2014-10-31,51.876,935,5.5,3000000.0,Thriller,[REC] Collection,2014
Deep Blue Sea 3,en,2020-08-25,51.476,227,5.8,5000000.0,Action,Deep Blue Sea Collection,2020
The Mad Hatter,en,2021-01-29,51.424,50,5.7,0.0,Thriller,,2021
Jaws,en,1975-06-20,51.381,8659,7.6,7000000.0,Adventure,Jaws Collection,1975
The Jack in the Box,en,2019-11-09,51.256,243,5.9,0.0,Horror,Jack in the Box Collection,2019
Scream 2,en,1997-12-12,51.026,3103,6.4,24000000.0,Mystery,Scream Collection,1997
AVP: Alien vs. Predator,en,2004-08-12,50.996,3654,5.9,70000000.0,Action,AVP Collection,2004
#Alive,ko,2020-06-24,50.907,1365,7.3,6300000.0,Action,,2020
Hostel,en,2005-09-17,50.839,3023,5.9,4800000.0,Horror,Hostel Collection,2005
The Babysitter: Killer Queen,en,2020-09-10,50.778,1191,6.4,0.0,Comedy,The Babysitter Collection,2020
Sleepy Hollow,en,1999-11-19,50.681,5700,7.2,100000000.0,Drama,,1999
Piranha 3D,en,2010-08-20,50.603,1829,5.4,24000000.0,Comedy,Piranha 3D Collection,2010
Van Helsing,en,2004-05-05,50.495,4987,6.3,160000000.0,Action,Van Helsing Collection,2004
Stan Helsing,en,2009-10-27,50.368,386,4.2,365000.0,Comedy,,2009
Paranormal Activity: Tokyo Night,ja,2010-11-20,50.297,360,6.0,1350000.0,Thriller,,2010
It Follows,en,2014-09-24,50.294,5456,6.6,2000000.0,Mystery,,2014
Smiley,en,2012-10-12,50.224,330,4.4,0.0,Horror,,2012
Containment,en,2015-07-09,50.172,156,5.9,0.0,Science Fiction,,2015
