title,original_language,release_date,popularity,vote_count,vote_average,budget,genre_names,collection_name,year_release
The Beast of Bray Road,en,2005-09-01,3.092,15,6.6,0.0,Horror,,2005
Porn Shoot Massacre,en,2009-02-08,3.092,7,7.3,0.0,Thriller,,2009
The Irrefutable Truth About Demons,en,2000-05-01,3.091,28,4.9,500000.0,Horror,,2000
Playing with Dolls: Havoc,en,2017-07-12,3.091,10,5.1,0.0,Thriller,Playing with Dolls Collection,2017
Psychomania,en,1973-01-05,3.09,49,5.8,0.0,Horror,,1973
The Thing That Couldn't Die,en,1958-06-27,3.089,21,5.3,0.0,Horror,,1958
Two on a Guillotine,en,1965-01-13,3.089,23,6.1,0.0,Mystery,,1965
The Witch,es,1954-01-17,3.089,9,6.4,0.0,Horror,,1954
The Dooms Chapel Horror,en,2016-07-14,3.089,7,4.9,0.0,Thriller,,2016
Staunton Hill,en,2009-10-06,3.086,20,4.8,1200000.0,Horror,,2009
Murders in the Rue Morgue,en,1971-07-21,3.086,33,5.2,0.0,Crime,,1971
The Robot vs. The Aztec Mummy,es,1958-07-17,3.085,41,3.0,0.0,Science Fiction,The Aztec Mummy Collection,1958
Creatures from the Abyss,it,1994-01-01,3.085,36,4.5,250000.0,Science Fiction,,1994
The G-string Horror,en,2012-01-01,3.085,3,6.7,0.0,Mystery,,2012
Who Is Clark Rockefeller?,en,2010-03-13,3.084,12,5.2,0.0,Crime,,2010
Alien Abduction: Intimate Secrets,en,1996-06-25,3.084,5,4.0,0.0,Drama,,1996
Silent Tongue,en,1993-01-28,3.084,16,5.1,0.0,Drama,,1993
Contagio,en,2009-12-02,3.084,4,3.5,0.0,Horror,,2009
Adam Chaplin,it,2011-08-11,3.083,68,6.0,0.0,Horror,,2011
The People Across the Lake,en,1988-10-03,3.083,11,6.5,0.0,Horror,,1988
The Ringmaster,da,2018-11-25,3.083,39,6.2,0.0,Mystery,,2018
The Green Elephant,ru,1999-01-01,3.081,50,5.7,0.0,Comedy,,1999
Demon Wind,en,1990-07-05,3.08,47,5.1,500000.0,Horror,,1990
Stinger,en,2005-01-01,3.079,8,3.6,0.0,Action,,2005
Alien Implant,en,2017-04-14,3.079,13,5.2,1000000.0,Drama,,2017
Haunted,no,2017-11-24,3.079,35,4.6,0.0,Crime,,2017
Anonymous Killers,en,2020-10-06,3.078,3,5.0,0.0,Crime,,2020
Knock Knock,en,2008-03-14,3.077,18,3.6,1200000.0,Horror,,2008
Eyeball,it,1975-01-24,3.077,45,5.7,0.0,Mystery,,1975
Too Beautiful to Die,it,1988-11-24,3.077,18,4.8,0.0,Mystery,Sotto il vestito niente - Collezione,1988
The Last Possession,en,2022-03-04,3.077,5,5.5,0.0,Thriller,,2022
Hiruko the Goblin,ja,1991-05-11,3.076,37,6.0,0.0,Comedy,,1991
The Spider Labyrinth,it,1988-08-25,3.076,21,6.5,0.0,Thriller,,1988
Last Rites,en,1988-11-18,3.075,15,4.4,0.0,Crime,,1988
Strip Club Massacre,en,2019-12-19,3.075,5,4.6,0.0,Thriller,,2019
Something Evil,en,1972-01-21,3.074,36,5.4,0.0,Drama,,1972
Stepmonster,en,1993-02-24,3.074,14,5.0,0.0,Comedy,,1993
Trauma,es,1978-09-11,3.072,11,5.0,0.0,Drama,,1978
The Mangler 2,en,2001-01-01,3.071,24,3.6,0.0,Science Fiction,The Mangler Collection,2001
The Stairs,en,2021-02-26,3.071,11,4.0,0.0,Science Fiction,,2021
Dracula's Guest,en,2008-08-17,3.07,13,3.5,1000000.0,Romance,,2008
The Cursed Lesson,ko,2020-11-18,3.07,7,5.9,0.0,Horror,,2020
The Mask of Satan,it,1989-01-02,3.068,13,4.0,0.0,Horror,,1989
Nightmare at Noon,en,1988-06-29,3.068,17,5.0,0.0,Action,,1988
Afterparty,en,2013-04-06,3.067,32,4.4,0.0,Horror,,2013
Elder Island,en,2016-11-16,3.067,6,3.7,0.0,Thriller,,2016
Mandy the Haunted Doll,en,2018-06-19,3.067,6,4.4,314701.0,Horror,,2018
They Live in The Grey,en,2022-06-16,3.067,4,5.5,0.0,Horror,,2022
The Other Child,ko,2022-10-19,3.066,0,0.0,0.0,Mystery,,2022
Extraterrestrial Visitors,es,1983-12-13,3.065,31,2.2,0.0,Science Fiction,,1983
El miedo no anda en burro,es,1976-11-25,3.064,25,7.3,0.0,Comedy,,1976
Ghost Town,en,1988-05-26,3.064,31,4.5,0.0,Western,,1988
Val,en,2021-10-01,3.064,12,5.7,0.0,Comedy,,2021
Satan's School for Girls,en,2000-03-13,3.063,12,4.7,0.0,Drama,,2000
Blinky™,en,2011-03-21,3.061,77,6.7,61733.0,Science Fiction,,2011
The Case of the Smiling Stiffs,en,1973-10-17,3.06,5,6.0,0.0,Comedy,,1973
Nobody Gets Out Alive,en,2013-01-31,3.06,22,3.5,0.0,Thriller,,2013
Another Soul,en,2018-05-25,3.06,14,4.7,0.0,Thriller,,2018
The Summoned,en,2022-07-07,3.06,8,5.5,0.0,Mystery,,2022
Death to the Supermodels,en,2005-11-25,3.058,14,5.4,0.0,Comedy,,2005
Lust of the Vampire,it,1957-04-05,3.058,52,6.4,0.0,Crime,,1957
Don't Let Him In,en,2011-06-12,3.056,46,4.1,1150000.0,Thriller,,2011
Potato Salad: Don't Ask!,de,2015-07-23,3.054,70,2.8,0.0,Comedy,Kartoffelsalat Filmreihe,2015
Endangered Species,en,2002-11-14,3.053,12,4.3,0.0,Science Fiction,,2002
Summertime,en,2012-10-30,3.052,7,6.1,0.0,Comedy,,2012
The Deep Ones,en,2021-04-23,3.052,21,4.2,500000.0,Science Fiction,,2021
Broken,en,2006-01-01,3.051,39,4.5,810000.0,Thriller,,2006
Hangman's Curse,en,2003-09-12,3.051,35,5.5,0.0,Mystery,,2003
Mystics in Bali,id,1981-01-01,3.051,28,5.7,0.0,Mystery,,1981
Almost Dead,fr,1994-03-20,3.051,8,6.1,0.0,Mystery,,1994
HeXing,en,2017-10-22,3.05,9,5.6,0.0,Horror,,2017
